word,definition
Define the word: nephroid,kidney-shaped
Define the word: nephrolith,kidney stone
Define the word: nephrology,study of the kidneys
Define the word: nepionic,of like or pertaining to the embryonic period of development
Define the word: nepotal,of like or pertaining to one's nephew
Define the word: nepotation,riotous behaviour; profligacy
Define the word: neritic,belonging to the shallow waters near land
Define the word: nerka,sockeye salmon
Define the word: nervifolious,having leaves with prominent veins
Define the word: nervine,quieting; soothing nervous excitement
Define the word: nervure,vein of a leaf
Define the word: nescience,lack of knowledge; ignorance
Define the word: nesh,soft; delicate; tender
Define the word: nesiote,living on an island
Define the word: nessberry,small soft North American fruit like a loganberry
Define the word: nestitherapy,medical treatment by reducing food intake
Define the word: nettlesome,irritable; difficult
Define the word: neuralgiform,like or shaped like a nerve
Define the word: neurergic,of like or pertaining to the function or action of the nerves
Define the word: neurism,“nerve-force” acting on evolution
Define the word: neurobiology,study of anatomy of the nervous system
Define the word: neurogenesis,production or generation of nerves
Define the word: neuroid,like a nerve
Define the word: neuropath,one who believes in nervous origin of most diseases
Define the word: neuropsychology,study of relation between brain and behaviour
Define the word: neurypnology,study of hypnotism
Define the word: neuston,minute organisms floating or swimming on water's surface
Define the word: neutrologistic,expressing neither praise nor disapproval
Define the word: neutrosophy,study of the origin and nature of philosophical neutralities
Define the word: névé,granular snow; field of granular snow
Define the word: nevosity,state of being speckled
Define the word: nevus,birthmark
Define the word: newel,upright column in middle of circular staircase; post at end of stairs
Define the word: nexal,of or pertaining to a nexus
Define the word: nexility,compactness of speech
Define the word: nexus,a bond; a linked group
Define the word: niaiserie,simplicity; foolishness
Define the word: niccolic,made of like or pertaining to nickel
Define the word: nickeliferous,bearing nickel
Define the word: nicotian,of like or pertaining to tobacco
Define the word: nictate,to wink or blink
Define the word: nidamental,nest-forming
Define the word: nidatory,of like or pertaining to nests
Define the word: niddering,one who shows shameful fear or timidity
Define the word: nidicolous,reared in a nest; sharing a nest
Define the word: nidificate,to construct a nest
Define the word: nidifugous,leaving the nest soon after hatching
Define the word: nidify,to build a nest
Define the word: nidology,study of nests
Define the word: nidor,strong smell or fume of animal cooking
Define the word: nidulation,nest-building
Define the word: nidus,place where something originates or develops; nest
Define the word: niello,ornamenting metal by placing black compound in engravings
Define the word: nieve,hand or fist
Define the word: niff,an unpleasant smell
Define the word: nigh,nearly; almost
Define the word: nightjar,nocturnal insectivorous Old World migratory bird
Define the word: nightpiece,work of art describing a night scene
Define the word: nigrescence,blackness; dark colouring or pigmentation
Define the word: nigricant,of a blackish colour
Define the word: nigrine,black
Define the word: nigrities,exceptionally dark coloration
Define the word: nigroglobulate,to blackball
Define the word: nigrosine,blackish coal-tar colour dye
Define the word: nihilism,denial of all reality; extreme scepticism
Define the word: nihility,nothingness; a mere nothing
Define the word: nil,nothing; not at all; in no way
Define the word: nill,to refuse; to be unwilling
Define the word: nim,to steal; to pilfer
Define the word: nimbose,cloudy
Define the word: nimiety,excess
Define the word: nimonic,of alloys used in high-temperature work
Define the word: ninon,silk voile or other thin fabric
Define the word: nippitatum,exceptionally good and strong ale
Define the word: nipter,ecclesiastical ceremony of washing the feet
Define the word: niramiai,period of stamping and glaring to cow sumo opponent
Define the word: nisus,effort; striving; impulse
Define the word: nitency,brightness; lustrousness
Define the word: nitency,effort; impulse; tendency
Define the word: nithing,infamous person; abject coward; traitor
Define the word: nitid,bright; shining; merry
Define the word: nitriary,artificial bed of animal matter used to produce nitre
Define the word: nitrometer,instrument for measuring nitrogen and its compounds
Define the word: nitrophilous,flourishing in or preferring locations with abundant nitrogen
Define the word: nivellate,to level or plane
Define the word: niveous,snowy; white
Define the word: nivial,growing among snow
Define the word: nobbut,except; unless
Define the word: nobiliary,of like or pertaining to nobility
Define the word: nobilitate,to ennoble
Define the word: nocent,hurtful; guilty; harmful
Define the word: nociceptive,sensitive to pain; causing pain
Define the word: noctambulation,sleep-walking
Define the word: noctidiurnal,comprising one day and one night
Define the word: noctiflorous,flowering at night
Define the word: noctilucent,phosphorescent; glowing in the dark
Define the word: noctivagant,wandering in the night
Define the word: noctuary,record of one night's thoughts
Define the word: nocuous,hurtful; noxious
Define the word: nodality,knottedness; state of being nodal
Define the word: nodated,knotted
Define the word: noddy,plain two-wheeled horse-drawn cart
Define the word: noddypeak,fool; imbecile
Define the word: nodose,having knots or nodules; knotty
Define the word: nodosity,knottiness; a knotty swelling
Define the word: nodus,a knotty point; difficulty; complication
Define the word: noegenesis,production of knowledge
Define the word: noema,stating something obscurely forcing listeners to work it out
Define the word: noesis,intellectual activity; purely intellectual perception
Define the word: noetics,laws or rules of logic
Define the word: noils,short pieces of fibre separated from longer ones by combing
Define the word: noisette,small piece of lamb cut off the bone and rolled
Define the word: nolition,adverse action of will; unwillingness
Define the word: nomancy,divination by examining letters of name
Define the word: nomenclator,lexicon; word-list; one who assigns names
Define the word: nomiatrist,lawyer specializing in medical cases
Define the word: nomic,customary; conventional
Define the word: nominalism,doctrine that naming of things defines reality
Define the word: nominatim,by name; expressly
Define the word: nominative,indicating subject of a verb
Define the word: nomism,view that moral conduct consists in observance of laws
Define the word: nomistic,based on law or a sacred book
Define the word: nomocracy,government based on legal system; rule of law
Define the word: nomogeny,origin of life according to natural law
Define the word: nomographer,a writer of laws
Define the word: nomography,writing or formulation of laws
Define the word: nomology,the science of the laws; especially of the mind
Define the word: nomothetical,giving laws; legislative
Define the word: nonage,legal infancy; minority; time of immaturity
Define the word: nones,prayer service held at 3 p.m.
Define the word: nonobstant,notwithstanding
Define the word: nonpareil,thing of unequalled excellence; paragon
Define the word: nonparous,not having given birth
Define the word: nonpathogenic,not causing disease
Define the word: noogenesis,evolution of the mind
Define the word: noology,science of the intellect
Define the word: noometry,mind-measurement
Define the word: noosphere,sum of human intellectual activities
Define the word: nootropics,cognitive enhancers; mind drugs
Define the word: normalism,state of being normal
Define the word: norsel,short piece of line for fastening fishing nets and hooks
Define the word: nosebag,food bag hung over a horse's head
Define the word: nosegay,bouquet of fragrant flowers
Define the word: nosism,"use of royal ""we""; assumption of role of group mouthpiece"
Define the word: nosocomial,of like or pertaining to a hospital
Define the word: nosocomium,hospital
Define the word: nosography,description of diseases
Define the word: nosology,study of diseases
Define the word: nosomania,delusion of suffering from a disease
Define the word: nosophobia,fear of disease
Define the word: nostology,study of senility
Define the word: nostomania,abnormal desire to go back to familiar places
Define the word: nostopathy,fear of returning to familiar places
Define the word: nostrification,acceptance of foreign university degrees on par with native
Define the word: nostrum,secret or quack medicine
Define the word: notabilia,notable sayings; things worthy of notice
Define the word: notalgia,back pain
Define the word: notandum,something to be specially noted or observed
Define the word: notaphily,collecting of bank-notes and cheques
Define the word: notarikon,making words from letters taken from throughout a sentence
Define the word: nothingarian,person who has no particular belief
Define the word: nothous,spurious; bastard
Define the word: notitia,roll list or register
Define the word: notonectal,swimming on the back
Define the word: noumenalism,belief in existence of noumena
Define the word: noumenon,object whose reality defined by reason rather than perception
Define the word: nous,pure intellect or reason
Define the word: novalia,lands newly brought under cultivation
Define the word: novantique,both new and old through repair or imitation
Define the word: novation,substitution of a new obligation for an existing one
Define the word: novena,series of Catholic church services held on nine successive days
Define the word: novenary,of like or pertaining to the number nine
Define the word: novendial,festival lasting nine days
Define the word: novercal,of like or pertaining to a stepmother
Define the word: novercaphobia,fear of one's stepmother
Define the word: novity,innovation; newness
Define the word: nowise,not at all
Define the word: noxal,of like or pertaining to wrongful injury by object or animal of another
Define the word: noyade,execution by drowning
Define the word: nubecula,a cloudiness
Define the word: nubiferous,cloud-bringing
Define the word: nubiform,cloudlike
Define the word: nubigenous,cloud-born
Define the word: nubilate,to obscure
Define the word: nubilous,cloudy
Define the word: nucal,of like or pertaining to nuts
Define the word: nucha,the nape of the neck
Define the word: nuchal,of like or pertaining to the nape of the neck
Define the word: nuciferous,nut-bearing
Define the word: nuciform,shaped like a nut
Define the word: nucivorous,nut-eating
Define the word: nucule,a nutlet
Define the word: nudation,the act of making bare
Define the word: nugacious,unimportant; trifling; trivial
Define the word: nugament,nonsense; trifle
Define the word: nugatory,inconsequential; inoperative; futile; trifling
Define the word: nullibicity,state of being nowhere
Define the word: nullibilism,denial that the soul exists in space
Define the word: nullifidian,having no faith; one who is faithless
Define the word: nulliparous,having not borne children
Define the word: nullism,belief that reality does not exist; nihilism
Define the word: nullity,the state of being null or void
Define the word: nulliverse,universe devoid of any plan or organizing principle
Define the word: numbat,termite-eating anteater-like marsupial with white stripes
Define the word: numen,presiding deity
Define the word: numenism,belief in local deities or spirits
Define the word: numinous,of like or pertaining to a deity; suffused with religious awe
Define the word: numismatics,study of coins
Define the word: numismatography,systematic description of coins
Define the word: nummamorous,money-loving
Define the word: nummary,of like or pertaining to coins or money
Define the word: nummet,light meal or luncheon
Define the word: nummiform,shaped like a coin
Define the word: numquid,an inquisitive person
Define the word: nunciative,bearing messages
Define the word: nuncio,one who brings tidings; high-ranking papal legate
Define the word: nuncius,messenger
Define the word: nuncle,to defraud
Define the word: nuncupate,to utter as a vow; to declare verbally
Define the word: nuncupative,oral; designative
Define the word: nundinal,of like or pertaining to a fair or market
Define the word: nundination,trading; mercantile commerce
Define the word: nunnation,addition of a final n in the declension of nouns
Define the word: nupson,simpleton; fool
Define the word: nuptiality,marriage-rate
Define the word: nuque,nape of the neck
Define the word: nutant,nodding; drooping
Define the word: nutarian,person who believes that nuts are the best kind of food
Define the word: nutation,fluctuation or nodding in movement of earth's pole
Define the word: nutria,amphibious South American rodent
Define the word: nutrication,nourishment
Define the word: nutrice,nurse
Define the word: nutricial,of like or pertaining to nurses
Define the word: nyala,large south African antelope
Define the word: nyatiti,eight-stringed lyre used by Luo people
Define the word: nychthemeral,of like or pertaining to a nychthemeron or 24-hour period
Define the word: nychthemeron,a full night and a day; 24 hours
Define the word: nyctalopia,night-blindness
Define the word: nyctanthous,flowering at night
Define the word: nyctograph,device for recording ideas at night or when not fully awake
Define the word: nyctophobia,fear of the night or darkness
Define the word: nymphean,of like or pertaining to a nymph
Define the word: nympholepsy,emotional frenzy as that inspired in men by nymphs
Define the word: nymphology,study of nymphs
Define the word: oakum,old ropes untwisted for caulking the seams of ships
Define the word: oakus,wallet; pocket billfold
Define the word: oast,kiln to dry hops or malt
Define the word: obambulate,to wander about
Define the word: obdormition,numbness in a limb caused by pressure on a nerve
Define the word: obduracy,stubbornness; persistence
Define the word: obedible,docile; capable of obedience
Define the word: obedientiary,someone subject to obedience
Define the word: obeism,practice of West African magic
Define the word: obeliscolychny,lighthouse
Define the word: obelisk,dagger sign used as a critical mark or note
Define the word: obelize,to condemn as spurious doubtful or corrupt
Define the word: obelus,division sign; mark used to indicate unacceptable passages
Define the word: obeophone,mechanical keyboard instrument used to imitate woodwind instruments
Define the word: obequitate,to ride about
Define the word: obfuscate,to obscure; to darken; to confuse
Define the word: obganiate,to irritate someone by constantly repeating oneself
Define the word: obi,broad sash worn with a kimono
Define the word: obit,religious office for a dead person
Define the word: obiter,in passing; incidentally
Define the word: obitual,of like or pertaining to obituaries
Define the word: objectivism,doctrine that all reality is objective
Define the word: objicient,objector
Define the word: objuration,the act of binding by oath; a solemn charge
Define the word: objurgate,to chide; to scold; to rebuke
Define the word: oblate,flattened at opposite sides or poles
Define the word: oblate,layman living in a religious community under modified rule
Define the word: oblation,act of offering; a sacrifice; anything offered in worship
Define the word: oblectation,enjoyment; pleasure
Define the word: obliquation,obliqueness
Define the word: oblivescence,forgetfulness; forgetting
Define the word: oblocutor,one who denies or disputes
Define the word: obloquy,censure; calumny; slander; disgrace
Define the word: obluctation,resistance; opposition
Define the word: obmutescent,speechless; persistently silent
Define the word: obnixely,earnestly; strenuously
Define the word: obnubilate,to becloud; to obscure
Define the word: obolary,extremely poor
Define the word: obreption,seeking to obtain a gift by false premises
Define the word: obrogate,to alter the law by passing a new law
Define the word: obrotund,round but flattened on top and bottom
Define the word: obscurantism,policy of withholding knowledge from the public
Define the word: obsecrate,to beseech; to implore
Define the word: obsequent,flowing in opposite direction to original slope of land
Define the word: obsequies,funeral
Define the word: obsequious,servilely ingratiating; fawning
Define the word: observationalism,belief that all knowledge is based on observation
Define the word: obsidional,of like or pertaining to a siege
Define the word: obsign,to seal or confirm
Define the word: obsolagnium,waning sexual desire due to age
Define the word: obstetrics,study of midwifery
Define the word: obstreperous,noisy; unruly
Define the word: obstriction,obligation
Define the word: obtend,to put forward or allege
Define the word: obtenebrate,to cast a shadow over
Define the word: obtest,to call to witness; to adjure; to protest; to beseech
Define the word: obtruncate,to cut or lop off the head of
Define the word: obtund,to blunt or dull; to deaden
Define the word: obtundent,dulling
Define the word: obturate,to stop up; to seal up
Define the word: obumbrate,to overshadow
Define the word: obvallate,walled in; sealed up
Define the word: obvention,any incidental occurrence or advantage
Define the word: obvert,to turn; to alter
Define the word: obvolute,overlapping; twisted
Define the word: obvolvent,enwrapping; curved downward or inward
Define the word: ocarina,egg-shaped flute-like wind instrument
Define the word: occamy,alloy imitating gold or silver
Define the word: occasionalism,belief that interactions between mind and body are intermediated by God
Define the word: occipital,of like or pertaining to the back of the head
Define the word: occlusion,closing of an opening passage or cavity
Define the word: occultation,concealing of one heavenly body by another
Define the word: ocellated,eyelike and ringed; having an eyelike spot or spots
Define the word: ocellus,small eye or eye-like coloured spot
Define the word: ochlesis,sickness resulting from overcrowded living conditions
Define the word: ochlocracy,government by mobs
Define the word: ochlophobia,fear of crowds
Define the word: ochre,yellowish or yellow-brown colour
Define the word: ochroleucous,yellowish white
Define the word: ocracy,government
Define the word: ocreate,wearing boots or leggings
Define the word: octactinal,having eight rays or points
Define the word: octad,set of eight things
Define the word: octamerous,having parts in eights
Define the word: octan,recurring every eight days
Define the word: octapla,multi-lingual book in eight texts
Define the word: octarchy,government by eight people
Define the word: octarius,pint
Define the word: octastich,poem of eight lines
Define the word: octingentenary,eight hundredth anniversary of an event
Define the word: octodont,degu
Define the word: octonary,of like or pertaining to or consisting of eight things; grouped in eights
Define the word: octonocular,having eight eyes
Define the word: octothorp,hash; pound sign
Define the word: octroi,trading privilege monopoly or concession granted to a town
Define the word: oculate,having eyes
Define the word: oculiform,shaped like an eye
Define the word: oculus,round window especially over main door in church
Define the word: od,mild oath
Define the word: odalisque,female slave in a harem
Define the word: odditorium,place for displaying oddities
Define the word: odeum,a usually small theatre or concert hall
Define the word: odible,worthy of hatred
Define the word: odium,hatred; offensiveness; blame
Define the word: odograph,odometer; instrument for measuring distance travelled
Define the word: odology,science of the hypothetical mystical force of od
Define the word: odontalgia,toothache
Define the word: odonterism,chattering of the teeth
Define the word: odontist,dentist
Define the word: odontogeny,origin and development of teeth
Define the word: odontograph,instrument for obtaining curves for gear-teeth
Define the word: odontography,scientific description of teeth
Define the word: odontoid,tooth-like
Define the word: odontology,study of teeth
Define the word: odontoloxia,irregularity of the teeth
Define the word: odontomancy,divination using teeth
Define the word: odophone,scale of odours
Define the word: odoriferous,emitting a usually pleasant smell
Define the word: odorimetry,measurement of strength and persistence of odours
Define the word: odorivector,substance producing an odour
Define the word: oecist,founder of a colony
Define the word: oecodomic,of like or pertaining to architecture
Define the word: oeillade,an ogle; a glance or wink
Define the word: oenology,study of wines
Define the word: oenomancy,divination by studying appearance of wine
Define the word: oenomania,obsession or craze for wine
Define the word: oenometer,instrument for measuring alcoholic strength of wine
Define the word: oenophile,one who is fond of or loves wine
Define the word: oenophobia,fear or hatred of wine
Define the word: oenopoetic,of like or pertaining to wine-making
Define the word: oersted,unit of magnetic field strength
Define the word: oestrogenic,producing female sex hormones
Define the word: officialism,excessive devotion to routine or position
Define the word: officinal,belonging to or used in a shop
Define the word: officious,volunteering one's services too eagerly
Define the word: ogdoad,set of eight
Define the word: ogee,S-shaped
Define the word: ogive,graph representing cumulative frequency
Define the word: ogonek,mark placed under Slavic consonant to indicate nasalization
Define the word: ohmmeter,instrument for measuring electrical resistance
Define the word: oikology,science of housekeeping
Define the word: oikonisus,desire to start a family
Define the word: oinomancy,divination using wine
Define the word: okapi,short-necked giraffe
Define the word: olamic,of or belonging to a vast period or eon
Define the word: oleaginous,oily fawning or sycophantic
Define the word: olecranon,funny bone
Define the word: oleic,of like or pertaining to or derived from oil
Define the word: oleiferous,producing oil
Define the word: olent,having a smell; fragrant
Define the word: oleograph,print in oil-colours to imitate an oil painting
Define the word: oleography,lithography employed to resemble oil painting
Define the word: oleometer,instrument for measuring amount of oil in a substance
Define the word: oleraceous,of the nature of a pot-herb; for kitchen use; edible
Define the word: olericulture,growing of herbs and vegetables
Define the word: olfactible,able to be smelled
Define the word: olfactology,study of the sense of smell
Define the word: olfactometer,instrument measuring intensity of odour of a substance
Define the word: olid,rank-smelling
Define the word: oligarchy,government by the few
Define the word: oligochrome,work of art using few colours
Define the word: oligodynamic,of like or pertaining to the effect of small quantities
Define the word: oligogenics,birth control
Define the word: oligomania,obsession with a few thoughts or ideas
Define the word: oligophrenia,feeble-mindedness
Define the word: oligopoly,market situation of few sellers of a service
Define the word: oligopsony,market situation of few buyers of a service
Define the word: oligosyllable,word of few syllables
Define the word: olim,formerly
Define the word: olio,miscellany; potpourri
Define the word: olitory,of like or pertaining to kitchen vegetables
Define the word: olivaceous,olive-coloured
Define the word: olivary,olive-shaped
Define the word: olivaster,having an olive complexion
Define the word: olivet,artificial pearl
Define the word: olivetta,container used to hold olives
Define the word: oliviform,shaped like an olive
Define the word: ollamh,learned man in ancient Ireland
Define the word: olm,blind aquatic cave-dwelling European salamander
Define the word: ololygmancy,fortune-telling by the howling of dogs
Define the word: ombré,shadowy; shaded; dusky
Define the word: ombrology,study of rain
Define the word: ombrometer,rain-gauge
Define the word: ombrophilous,tolerant of large amounts of rainfall
Define the word: ombrophobia,fear of rain
Define the word: omegoid,shaped like a horseshoe or omega
Define the word: ommateum,compound eye
Define the word: omneity,state of being all; allness
Define the word: omniana,about all sorts of things
Define the word: omnicompetent,legally competent in all matters
Define the word: omnifarious,of all kinds
Define the word: omniferous,bearing everything
Define the word: omnify,to make large or universal
Define the word: omnigatherum,miscellaneous assemblage or collection
Define the word: omnigenous,of all kinds
Define the word: omniloquent,speaking on all subjects
Define the word: omniparity,general equality
Define the word: omnism,belief in all religions
Define the word: omophagy,eating of raw flesh as a ritual observance
Define the word: omoplatoscopy,divination by observing cracks in burning scapulae
Define the word: omphalism,centralization in government
Define the word: omphaloid,navel-like
Define the word: omphalomancy,divination from the knots in the umbilical cord
Define the word: omphalopsychite,one who meditates by gazing at the navel
Define the word: omphalos,the navel; a boss; a centre
Define the word: omphaloskepsis,navel-gazing
Define the word: onager,military engine for throwing great stones
Define the word: onager,Asiatic wild ass
Define the word: onanism,masturbation; self-gratification
Define the word: oncogenesis,producing cancerous tumours
Define the word: oncology,study of tumours
Define the word: oncometer,instrument measuring change in size of internal organs
Define the word: oncosimeter,instrument measuring variations in density of molten metal
Define the word: oncostman,mine worker paid by the day
Define the word: ondograph,instrument measuring change in wave formations of electricity
Define the word: ondoyant,wavy
Define the word: oneiric,of like or pertaining to dreams
Define the word: oneirocriticism,dream interpretation
Define the word: oneirodynia,nightmare
Define the word: oneirology,study of dreams
Define the word: oneiromancy,divination by dreams
Define the word: one-step,ballroom dance marked by quick walking steps
Define the word: oniomania,mania for making purchases
Define the word: oniscoid,like a woodlouse
Define the word: onocrotal,old term for the pelican
Define the word: onolatry,worship of asses or donkeys
Define the word: onomamania,mania for names
Define the word: onomancy,divination using a donkey or ass
Define the word: onomancy,divination using proper names
Define the word: onomasiology,study of nomenclature
Define the word: onomastic,of like or pertaining to a name or signature
Define the word: onomasticon,dictionary of proper names
Define the word: onomastics,study of proper names
Define the word: onomatomania,irresistible desire to repeat certain words
Define the word: onomatophobia,fear of hearing a certain word
Define the word: onomatous,bearing the author's name
Define the word: ontal,of like or pertaining to reality or existence
Define the word: ontocyclic,returning to an infantile state or character in old age
Define the word: ontogenesis,origin and development of a single individual organism
Define the word: ontography,description of reality essence or being
Define the word: ontological,based upon being or existence
Define the word: ontology,science of pure being; the nature of things
Define the word: ontosophy,knowledge of being or existence
Define the word: onychocryptosis,ingrowing toenail
Define the word: onychoid,like a fingernail
Define the word: onychomancy,divination by the fingernails
Define the word: onychophagist,nail-biter
Define the word: onychophorous,bearing nails or claws
Define the word: onychotillomania,compulsive picking at the fingernails
Define the word: onymancy,divination by the fingernails
Define the word: onymatic,of like or pertaining to names
Define the word: onymous,bearing the author's name
Define the word: onymy,scientific nomenclature
Define the word: onyxis,ingrown nail
Define the word: oogenesis,production of eggs or ova
Define the word: ooidal,egg-shaped
Define the word: oology,study of eggs
Define the word: oomancy,divination using eggs
Define the word: oometer,instrument for measuring eggs
Define the word: oophoron,ovary
Define the word: oose,furry dust that gathers under beds
Define the word: ootocous,producing eggs; oviparous
Define the word: opacimeter,instrument for measuring opacity
Define the word: opacular,somewhat opaque
Define the word: opalescence,milky iridescence
Define the word: opalotype,photograph taken on a milky opal glass plate
Define the word: opeidoscope,instrument for illustrating sound by means of light
Define the word: operculum,cover or lid; lid-like organ or covering
Define the word: operose,laborious; tedious
Define the word: ophelimity,ability to please sexually; ability to satisfy
Define the word: ophiasis,baldness in wavy bands
Define the word: ophic,of like or pertaining to serpents
Define the word: ophicleide,keyed bass brass musical instrument
Define the word: ophidian,of or like a snake
Define the word: ophidiarium,snake-house
Define the word: ophidiomancy,divination using snakes
Define the word: ophidiophobia,fear of snakes
Define the word: ophiolatry,worship of snakes
Define the word: ophiology,study of snakes
Define the word: ophiomancy,divination by watching snakes
Define the word: ophiomormous,snakelike
Define the word: ophiomorphic,shaped like a snake
Define the word: ophiophagous,eating snakes
Define the word: ophiophilist,snake-lover
Define the word: ophism,snake-worship
Define the word: ophiuran,brittle star
Define the word: ophthalmometer,instrument for measuring the eye
Define the word: ophthalmophobia,fear of being stared at
Define the word: ophthalmoscope,instrument for viewing the interior of the eye
Define the word: opificer,artificer
Define the word: opinable,capable of being thought
Define the word: opiniaster,one who obstinately holds to an opinion
Define the word: opinicus,mythic heraldic winged beast with lion's body eagle's head camel's tail
Define the word: opinionator,one who holds or gives an opinion
Define the word: opiomania,craving for opium
Define the word: opisometer,instrument for measuring curved lines
Define the word: opisthenar,the back of the hand
Define the word: opisthograph,manuscript or slab inscribed on both back and front
Define the word: opisthosomal,of like or pertaining to posteriors
Define the word: opodeldoc,soapy liniment
Define the word: oppidan,urban
Define the word: oppignorate,to pawn
Define the word: oppilate,to block up; to stop up
Define the word: oppositive,indicating opposition or location opposite to
Define the word: opprobrium,disgrace; bad reputation
Define the word: oppugn,to attack by argument; to oppose; to call in question
Define the word: opsigamy,one who marries late in life
Define the word: opsimath,one who learns late in life
Define the word: opsiometer,instrument for testing vision
Define the word: opsomania,abnormal love for one kind of food
Define the word: opsonium,anything eaten with bread as a relish
Define the word: optative,mood expressing a desire or wish
Define the word: optics,study of light
Define the word: optimate,of the nobility or aristocracy
Define the word: optogram,image fixed on the retina
Define the word: optology,study of sight
Define the word: optometer,instrument for testing vision
Define the word: optophobia,fear of opening one's eyes
Define the word: optophone,device transforming light into sound
Define the word: opuscule,little work or composition
Define the word: or,before
Define the word: or,heraldic colour gold or yellow
Define the word: orad,toward the mouth
Define the word: orad,towards the mouth
Define the word: oragious,stormy
Define the word: oralism,instruction of the deaf through speech rather than sign language
Define the word: orangery,building for growing orange trees in a cool climate
Define the word: orant,representation of praying figure in early art
Define the word: orarian,coastal; a coast-dweller
Define the word: orarion,deacon's stole in Orthodox church
Define the word: orarium,book of private devotions
Define the word: orarium,handkerchief; scarf attached to bishop's staff
Define the word: oratiuncle,short oration
Define the word: oratory,small chapel for private prayer; lectern for prayer
Define the word: orbific,creating the world
Define the word: orchesis,act of dancing or rhythmical moving of the body
Define the word: orchesography,notation of dance movements by means of diagrams
Define the word: orchidaceous,exceptionally beautiful; gaudy; ostentatious
Define the word: orchidology,study of orchids
Define the word: orchidomania,abnormal obsession with orchids
Define the word: orchidometer,instrument for measuring the size of the testicles
Define the word: ord,point of a weapon; a beginning
Define the word: ordalian,of like or pertaining to an ordeal
Define the word: ordinal,book containing religious rites especially for ordination
Define the word: ordinant,one who ordains
Define the word: ordinate,in rows or columns
Define the word: ordo,calendar with list of services for each day of the year
Define the word: ordonnance,proper coordination of figures in a picture
Define the word: ordure,loathsome dirt or refuse; something morally degrading
Define the word: oread,mountain nymph
Define the word: orectic,of like or pertaining to appetite or desires
Define the word: oreillet,earpiece of a helmet
Define the word: oremus,Roman Catholic liturgical prayer
Define the word: orey-eyed,expressing anger through the eyes
Define the word: orf,viral infection of sheep
Define the word: orfèvrerie,goldsmith's work
Define the word: organdie,fine translucent cotton
Define the word: organicism,conception of life or society as an organism
Define the word: organistrum,early musical instrument resembling the hurdy-gurdy
Define the word: organity,an organized whole
Define the word: organogenesis,origin or development of living organs
Define the word: organography,scientific description of organs
Define the word: organoleptic,dealing with testing effects of a substance on senses
Define the word: organon,method of investigation; logical technique or system
Define the word: organonomy,laws of organic life
Define the word: organza,transparent thin silk or nylon
Define the word: orguinette,mechanical instrument with reeds and bellows playing music from a paper roll
Define the word: orgulous,proud; haughty
Define the word: oribi,small African antelope with vertical horns
Define the word: orichalc,gold-coloured alloy; brass
Define the word: oriel,small room or recess with a polygonal bay window
Define the word: oriflamme,banner of red silk split into several points
Define the word: oriform,shaped like a mouth
Define the word: orillion,semicircular projection on a bastion to protect flanks
Define the word: orismology,technical definition or terminology
Define the word: orison,prayer
Define the word: orleans,interwoven cotton and worsted
Define the word: orlop,lowest deck in a ship having four or more decks
Define the word: ormolu,something expensive looking; gold-plated metal
Define the word: ornithic,of like or pertaining to birds
Define the word: ornithobiography,life history of birds
Define the word: ornithoid,bird-like
Define the word: ornithology,study of birds
Define the word: ornithomancy,divination by observing flight of birds
Define the word: ornithon,aviary
Define the word: ornithophilous,pollinated by birds
Define the word: ornithophobia,fear of birds
Define the word: ornithopter,bird-like archaic flying machine
Define the word: ornithoscopy,bird watching
Define the word: orobathymetric,of like or pertaining to map showing submerged heights and sea depths
Define the word: orogen,mountain pass
Define the word: orogenesis,mountain-building
Define the word: orography,description of mountains
Define the word: orohydrography,description of the role of mountains in forming watersheds
Define the word: oroide,alloy used to imitate gold
Define the word: orology,study of mountains
Define the word: oropendola,tropical oriole living in long hanging nests
Define the word: orotund,marked by fullness and clarity of sound; pompous
Define the word: orphanotrophism,care and support of orphans
Define the word: orpharion,large lute with six to nine pairs of strings
Define the word: orphrey,gold or other rich embroidery on clerical robes
Define the word: orpiment,yellow arsenic compound used as pigment
Define the word: orrery,clockwork model of the solar system
Define the word: ort,scrap of food; morsel
Define the word: orthian,high-pitched
Define the word: orthobiosis,correct or moral living
Define the word: orthodromics,great-circle sailing; sailing by most direct route
Define the word: orthoepy,study of correct pronunciation
Define the word: orthogenesis,directional evolution of organisms
Define the word: orthognathism,state of having straight jaws
Define the word: orthographer,correct speller
Define the word: orthography,study of spelling; proper spelling practices
Define the word: orthology,correct use of words
Define the word: orthopraxis,correct practice in religion
Define the word: orthopter,ornithopter; flying machine with moving wings
Define the word: orthopterology,study of cockroaches
Define the word: orthostichous,arranged in vertical rows
Define the word: orthotomic,cutting at right angles
Define the word: orthotonic,taking an accent in some but not all positions
Define the word: orthotropism,vertical growth
Define the word: oryctognosy,mineralogy
Define the word: oryctography,description of minerals; mineralography
Define the word: oryctology,mineralogy or paleontology
Define the word: oryctomancy,divination using excavated objects
Define the word: oryx,large antelope of Africa and Arabia with long horns
Define the word: oryzivorous,rice-eating
Define the word: oscheal,of like or pertaining to the scrotum
Define the word: oscillograph,instrument for recording alternating current wave forms
Define the word: oscillometer,instrument for measuring ship's rollings
Define the word: oscilloscope,instrument for detecting electrical fluctuations
Define the word: oscinine,of like or pertaining to song-birds
Define the word: oscitancy,yawning; sleepiness; stupidity
Define the word: oscitate,to yawn
Define the word: oscular,of like or pertaining to the mouth or to kissing
